origin_ISO,destination_ISO,flow(tonne),Unit logistics costs ($/ton),distance(km),cost_per_ton_km
LSO,BRA,11742.004062961205,17321.16051061213,10625.32853124753,1.6301764655721604
ETH,PYF,12062.655823338979,36283.035430702126,22767.961638558852,1.5936005166687701
LSO,USA,125191.72701328194,29635.0858683027,18912.48621286047,1.566958755964664
LSO,JPN,17139.336623244817,25984.910499120917,17180.060650426123,1.5125040026256487
ETH,BHS,22543.388234069287,22812.063494764698,15532.796463666722,1.4686385383420912
ETH,MUS,23321.871061014972,8107.786027007667,6536.60046089237,1.240367386000643
MWI,JPN,80664.78675839554,18497.437424235868,16080.960406143398,1.150269446417473
ETH,CHL,39319.933799104736,18553.8600790814,17995.42431157914,1.0310320978173844
BFA,USA,980616.23922196,14086.98392686993,13720.33967035699,1.0267226807296237
UGA,ARG,33857.3399619577,14164.236294992246,13928.304158342038,1.0169390425401432
MWI,MDG,10169.73379204443,4740.615200982191,4671.102506923412,1.0148814319436896
LSO,IDN,13035.346398977628,14648.411081392851,14612.411780256174,1.0024636111873961
LSO,ZAF,26203.10186756581,1399.0906496043208,1412.9633958533864,0.9901818077596505
MWI,AUS,38567.35400470289,14162.686427457435,14741.646325341324,0.960726238772352
ETH,GMB,12410.319152459891,8361.388864621407,8719.944361475613,0.9588809879982388
SWZ,JPN,36063.571929562844,15615.365040506917,16411.733333760894,0.9514756743204111
UGA,KEN,78296.728586706,1277.6141829341398,1384.8852118433808,0.9225415738489577
RWA,USA,548278.0413645026,17860.869112213008,19836.704162851376,0.9003949933205861
UGA,CHL,19403.037623687454,14162.048821593531,15774.578832720903,0.8977766678763852
ZMB,MDG,27923.573635852576,4140.526775277023,4624.173797988412,0.8954089868071605
MWI,USA,609001.7266935258,17519.082088084855,19934.294881609138,0.8788413230631752
UGA,MDG,44497.8595910546,3424.012487722504,3934.9560265956648,0.8701526686906322
RWA,IDN,54851.76604595716,12916.135680578698,14855.640746104216,0.8694431900533042
ETH,SDN,247646.80918032682,1819.5165989393515,2096.296707877876,0.8679671117650541
SWZ,KEN,13995.714429636291,3538.8768767179226,4144.476744416711,0.8538778463373862
NER,NGA,115114.75879864217,1117.189359754479,1309.42076682152,0.8531935555492508
SSD,IDN,55635.92005428157,10955.377883743422,13409.861995882375,0.8169642526602716
NER,BRA,68153.61130267689,6778.999914773737,8312.862644819408,0.8154832101067402
BFA,BEN,15019.303505129936,1054.6741962654162,1293.338323718161,0.8154665928659565
LSO,ESP,14565.443187715551,11317.135857064703,13974.612262127835,0.8098354104417568
BWA,MWI,22427.91333881575,2246.7946831506792,2774.9623531293146,0.8096667259708865
RWA,MDG,10999.380374866965,5115.146185739279,6322.0912060670635,0.8090908560177799
BWA,MDG,27727.914016473806,2908.3918241037077,3596.923725134338,0.8085775641503449
BFA,BRA,92281.79904940847,6553.943168018394,8141.583636537541,0.8049961113960453
ETH,ERI,17323.365794918205,1110.1757668876824,1380.6039348365646,0.8041232817572004
BDI,BRA,12302.218073705662,10680.469699329846,13313.366114651568,0.8022366099866977
CAF,BRA,14537.973043609685,8001.335115760713,10089.524750929262,0.793033895379837
UGA,MOZ,30467.869546135797,3536.881297739369,4467.859885763852,0.7916276222110494
NER,IDN,63806.35321109709,13261.526642318167,16891.072320702544,0.7851204701825932
LSO,ITA,14506.964262686366,10359.821945335922,13427.782118723544,0.7715214511032544
ZMB,RWA,13679.75114726273,2806.360041869538,3661.9540213515806,0.7663558923751167
BWA,JPN,135698.73356045876,12811.862270819123,16774.354887416797,0.7637767506892251
MLI,IDN,70653.49597635583,13722.723337291996,18230.369771677415,0.752739714507137
MLI,SEN,12361.595096775874,1230.7563155431842,1650.0711281937722,0.7458807650858147
MWI,KEN,20700.513096276827,2602.8860046313434,3536.151768137325,0.7360787023014057
MWI,ARG,10541.994208692231,9257.085488672896,12626.0394949439,0.7331741273563969
MWI,BRA,57922.14748822933,9078.79320157636,12462.360174952479,0.7284970963865581
LSO,FRA,16864.21008462244,10246.931791755516,14108.805405582149,0.7262791921207814
MLI,NGA,123461.9254120059,2104.048380369415,2917.2606758466513,0.7212411279491763
BFA,GIN,11192.488197432642,1606.380871846571,2237.207077377511,0.7180295861255703
BFA,JPN,133211.89631409725,14199.833986619631,19872.30248227302,0.714554038178843
BFA,MDG,20058.10869432875,6998.829992866058,9810.800525573895,0.7133801135414128
ZMB,IDN,112137.35083447854,10217.69830386174,14373.700093158272,0.7108606856716911
RWA,BRA,51653.80724654352,9302.613021426676,13181.669476742016,0.7057234319097729
MWI,TZA,20688.76091889457,2176.286791093397,3139.599820530508,0.6931733072674411
MWI,PHL,17323.562919627217,9400.783008519207,13571.051316548794,0.6927085300352315
BWA,MOZ,22181.029973047334,866.8216274431361,1251.917165086694,0.692395352996945
SWZ,IDN,30760.968874052498,9664.679907051363,13960.781832536411,0.6922735433432006
NER,SEN,11298.429171137574,2147.321511912598,3118.980066441491,0.6884691361181162
ETH,IDN,460123.36417694425,8085.719068743485,11800.002703414335,0.6852302725662833
ZMB,MOZ,18264.471151853017,1591.7749195843348,2329.9333458340216,0.6831847453621228
TCD,IDN,92673.45910056331,10872.270941276503,15929.47365420616,0.6825254353840933
TCD,BEN,15054.018058090183,1520.5549815466825,2230.8640043637834,0.6815991376311292
ETH,MDG,111148.29920494765,4094.98426640418,6024.5674476039,0.679714237083169
TCD,BRA,74528.56508941558,6653.5859046082605,9811.482700444634,0.6781427545407317
LSO,GBR,17984.41474595148,9863.043716391696,14602.268674975245,0.6754459828077651
LSO,NGA,26327.59119278298,5470.600045600976,8128.1102819938005,0.673046975964388
ETH,EGY,87914.99500990313,2321.0404750917514,3450.2796102423804,0.672710834276037
NER,ARG,12402.42749081905,7234.3285449554405,10803.192160934792,0.6696473076833116
MLI,GHA,15000.352098679334,1564.4042669668836,2339.0739441560295,0.6688135152270026
RWA,KOR,26370.499253948154,11169.711776714044,16747.657589406954,0.6669417330205621
UGA,GNQ,12704.8114212543,4169.365198042546,6258.178200336085,0.6662266660637175
TCD,NGA,178494.90735390768,1276.1637715770214,1915.5771141533014,0.6662032878488918
BFA,NGA,196295.00020442202,1117.291196911299,1681.949907400802,0.6642832774002781
ETH,ECU,13963.879025346538,11599.053730269834,17782.579400008017,0.6522705997457604
TCD,JPN,116920.0181143584,12556.694136253775,19271.906074399154,0.6515543448467777
NER,MDG,11377.80984746553,6355.371790466187,9759.733862195764,0.6511828990628176
SSD,ARG,10076.742568091635,11058.400439111696,16985.37576641032,0.6510542122347625
ETH,PHL,172839.930386626,7486.568169211855,11514.319142599226,0.6501963404430918
SWZ,TZA,14091.745445474458,2275.755798117652,3500.30497225374,0.6501592907352761
ETH,LBR,18311.13497250999,5534.448004612804,8525.00553612993,0.6492016903868499
ZMB,KEN,44581.384882442224,2008.75123756073,3102.5664496757126,0.6474482561914796
MWI,IDN,55593.778550670184,9117.899476195558,14148.898926054542,0.6444246668131446
ETH,LSO,11225.407023862626,4413.833994188807,6852.550299020802,0.6441155192716387
TCD,EGY,19997.772618832965,4076.7204932170266,6338.1562509825935,0.6432029018825498
LSO,CHN,210961.38993738408,11320.575631582557,17633.920742687125,0.6419772322203079
ZMB,LKA,10618.017881117325,7291.1728620072745,11363.143439976173,0.641651044935024
LSO,HKG,23041.61260969072,11198.250413407033,17490.09317300146,0.6402624790297393
BDI,JPN,15919.280191278012,10002.47749711081,15655.845354460265,0.6388973109178777
BFA,COL,11387.129292391286,7742.853365886907,12144.927540702076,0.6375380454051937
UGA,TZA,76347.93181633075,1015.5450468305795,1596.7374792175399,0.6360125318334946
MLI,BRA,71504.24288997301,4736.904349061205,7458.053392079544,0.6351395062539776
BFA,SEN,19756.32576428294,1743.7451587086398,2748.193355900938,0.634505994625327
ZWE,BRA,24274.021785003162,7725.318805628249,12175.782334967145,0.6344823349414035
ZMB,PHL,43167.921403893415,8812.320891773727,13961.757757113794,0.6311756044674012
ETH,ZMB,64262.547510231765,3194.759173567843,5086.860595497427,0.6280414242913684
UGA,BWA,15707.418401196446,2925.070838411652,4657.62867447722,0.6280171827437419
MLI,ARG,13124.064940674563,6477.290364004148,10313.970171174928,0.6280113531941968
ZWE,IDN,18488.63401677246,8883.301468576115,14157.120360212126,0.6274794055959422
UGA,LKA,20398.283685397113,6012.976801060121,9601.87753326146,0.6262292744550033
SWZ,BRA,23166.97647357553,6932.633705097879,11082.522308177327,0.625546559918276
BWA,AUS,59191.538878631494,8455.095033143481,13553.722891391571,0.6238208572578682
ZMB,MWI,20084.005979355996,1368.0440737690026,2201.924194097394,0.6212948099831326
UGA,JPN,272005.48233027797,9402.148922757842,15238.791148979204,0.6169878457444219
RWA,JPN,74286.36617246192,10745.212184412221,17476.898895590715,0.6148237309493823
MLI,MDG,16127.816574144912,6564.1252271619105,10698.791649966319,0.6135389342947505
ETH,MWI,81117.29813577131,3394.699264153673,5534.134291425291,0.6134110748655837
LSO,DEU,24019.114893247654,8567.29370025086,13999.145531715636,0.6119869016892
LSO,IND,153456.34619714474,8473.631201747827,13867.007761893301,0.6110641421167632
ETH,ISR,57973.59852720497,2273.3363653835545,3738.1889154724545,0.6081384372989177
TCD,GHA,22642.38957525209,1539.775008903647,2532.3055680162315,0.6080526095868765
CAF,NGA,24037.147480854124,1597.6463188845746,2635.518273630394,0.6061981564953585
ETH,COL,47643.074998991375,10065.346298624301,16634.715998316202,0.6050807419641631
ETH,GNQ,30860.672444298874,4584.113273134754,7603.867924445054,0.6028659780370018
BWA,ARG,15773.786520641746,6818.098612089218,11325.127157764648,0.6020328528863047
ZMB,NZL,10060.702697326353,10757.550704940275,17937.623791144142,0.5997199422953284
BFA,ARG,16806.83298194593,6433.6636655982975,10745.561771962923,0.5987275306894487
ETH,KWT,17231.211860508418,2902.3270805673687,4887.002544719845,0.5938869591347326
BWA,BRA,86466.04132981067,6788.331426675679,11445.143861833229,0.5931189252511813
BDI,FRA,12967.723038695938,7260.134008099867,12262.368577471472,0.5920662033791944
ZMB,JPN,139353.3373943334,9649.662401176234,16471.6668467084,0.5858339954893251
ZMB,TZA,44818.860436360446,1474.9029170380982,2523.448400202645,0.5844791266267447
ETH,DOM,9978.652195878389,8684.914722761248,14876.195395952825,0.583812896483199
SSD,KEN,21464.506120940143,1893.0687648381656,3243.504482525414,0.5836491902623208
ZMB,COL,11315.346490938062,9890.175389820084,16950.295941759454,0.5834809860430954
MLI,MEX,23520.023158668064,7386.921261657222,12687.613616420937,0.5822151812770137
UGA,MWI,32524.927389420423,2341.2570151781606,4028.5411807050145,0.5811674524743047
UGA,IND,2405653.9515433866,5888.105032158179,10182.546450369602,0.5782546694834331
TCD,CIV,21340.36667017156,1953.0639465324612,3389.2516896004854,0.5762522602039869
ETH,KEN,180233.41797927028,1631.501487471876,2832.3085644162843,0.5760323956115689
UGA,SOM,11959.793307641079,1268.5297136741062,2210.1476452000234,0.5739570007592418
TCD,RWA,11147.930793451815,3426.6236779499736,5983.9679191889545,0.5726340321714836
SSD,PHL,17806.54808892969,7569.766810982054,13238.084248309277,0.5718173920783771
SWZ,ETH,21151.047005483186,3585.4743256972847,6278.958831804676,0.5710300738931203
ZWE,JPN,31806.495674615515,9314.800945287676,16330.885508481397,0.5703794163794769
BWA,ZAF,200728.78434523605,961.6660765824832,1695.4762879127393,0.5671952379625241
UGA,ZMB,24049.11207296329,2009.5561044662156,3551.712776870825,0.5657991596484613
RWA,BEL,17972.649451574427,6608.8428400686935,11709.730665966194,0.5643889708989634
ETH,IRL,70556.22929836107,4991.5786903435,8844.673154175502,0.5643598811774084
ETH,BWA,37879.11071580608,3495.4309591369483,6212.889182320498,0.5626095776959302
UGA,IDN,200699.83600906172,7341.045368356355,13051.816047720788,0.562453940625244
ETH,LKA,43810.47866753235,4386.1287818968885,7813.606061417118,0.5613450111793064
TCD,ARG,13838.538036238002,6760.0629419734605,12050.000788426682,0.5610010373166203
ZWE,ZAF,50404.81882281013,1454.6162174000783,2597.771626212397,0.559947688519848
RWA,AUS,34642.555379521946,9308.809914403393,16690.117340194978,0.557743826760576
SSD,TZA,21482.931087327932,1929.3623034375203,3460.2195897320726,0.5575837756548023
SWZ,ZAF,53540.35229629792,909.5064021197938,1631.7374591044006,0.5573852564609185
NER,CMR,14288.262507488806,1356.7675613026258,2437.467774448515,0.556629948311665
MWI,ITA,63763.574610718235,6670.523247862169,12015.524963084737,0.5551587024583611
CAF,IDN,14015.802638698358,9352.665562478525,16850.011687760893,0.5550539510469237
ETH,JPN,580019.4708478925,7621.5260489904185,13732.707449037278,0.5549907822091353
NER,MEX,21844.72349922175,7882.880523002823,14209.223448092953,0.5547720853148241
