Origin,Destination,Current Mode,Suggested Mode,Current Cost,Optimal Cost,Savings (%),Number of Shipments
ZWE,ZMB,Air,Rail,1791.308148999159,0.0,100.0,19
LBR,ESH,Air,Rail,9722.388956185918,0.0,100.0,19
LBR,BWA,Air,Rail,22122.406642460875,0.0,100.0,19
LBR,CAF,Air,Rail,11703.43470383842,0.0,100.0,19
LBR,CIV,Air,Rail,5832.458766318233,0.0,100.0,19
LBR,CMR,Air,Rail,8168.680594458761,0.0,100.0,38
LBR,COD,Air,Rail,14172.524750987,0.0,100.0,19
LBR,COG,Air,Rail,11134.898612851812,0.0,100.0,19
LBR,DZA,Air,Rail,15738.83421304582,0.0,100.0,38
ERI,SOM,Air,Rail,4246.760382016582,0.0,100.0,19
LBR,GAB,Air,Rail,8129.605374735016,0.0,100.0,19
DJI,ETH,Air,Rail,2185.8566991425105,0.0,100.0,19
LBR,GHA,Air,Rail,4549.054470433715,0.0,100.0,19
LBR,GIN,Air,Rail,5775.763125696929,0.0,100.0,19
LBR,GNB,Air,Rail,3022.907713582328,0.0,100.0,19
BDI,RWA,Air,Rail,12874.768417493928,0.0,100.0,19
LBR,LBY,Air,Rail,16330.759716191718,0.0,100.0,19
LBR,MAR,Air,Rail,11302.233709939044,0.0,100.0,38
LBR,MLI,Air,Rail,7978.880296923043,0.0,100.0,19
DJI,SDN,Air,Rail,10239.221350519112,0.0,100.0,19
LBR,BFA,Air,Rail,6977.1298998589455,0.0,100.0,19
LBR,BEN,Air,Rail,6631.951054912184,0.0,100.0,19
LBR,AGO,Air,Rail,15751.343676327097,0.0,100.0,19
ERI,ETH,Air,Rail,3905.7797551383846,0.0,100.0,19
DJI,DZA,Air,Rail,19105.3317981804,0.0,100.0,38
GNB,SLE,Air,Rail,3515.4773469522247,0.0,100.0,19
RWA,UGA,Air,Rail,3000.893832288371,0.0,100.0,19
ZMB,ZWE,Air,Rail,1394.658080770175,0.0,100.0,19
NER,MLI,Air,Rail,3154.2942850554514,0.0,100.0,19
GNB,GIN,Air,Rail,2925.0116412506927,0.0,100.0,19
SLE,CIV,Air,Rail,5831.45196942812,0.0,100.0,19
SLE,GHA,Air,Rail,1516.3118682236475,0.0,100.0,19
SLE,GIN,Air,Rail,2861.3957646069016,0.0,100.0,19
SLE,GNB,Air,Rail,3531.2669293850577,0.0,100.0,19
SLE,LBR,Air,Rail,2296.209365557059,0.0,100.0,19
SLE,MLI,Air,Rail,5641.105230668774,0.0,100.0,19
NER,BFA,Air,Rail,913.742583016607,0.0,100.0,19
SOM,DJI,Air,Rail,3881.5163963853647,0.0,100.0,19
SOM,ERI,Air,Rail,4512.087988470041,0.0,100.0,19
SOM,ETH,Air,Rail,5077.003451635166,0.0,100.0,19
ERI,DJI,Air,Rail,3676.736586426068,0.0,100.0,19
LBR,MRT,Air,Rail,5497.359172963072,0.0,100.0,19
LBR,NAM,Air,Rail,17267.78679433463,0.0,100.0,19
CIV,GHA,Air,Rail,898.3981429534545,0.0,100.0,19
MLI,SLE,Air,Rail,5799.2008212480605,0.0,100.0,19
CAF,TCD,Air,Rail,5019.869403836545,0.0,100.0,19
GIN,SLE,Air,Rail,4886.903507183588,0.0,100.0,19
MLI,LBR,Air,Rail,7978.880296923044,0.0,100.0,19
LBY,TCD,Air,Rail,6497.749870052176,0.0,100.0,19
MLI,GIN,Air,Rail,2549.5112739797078,0.0,100.0,19
MLI,BFA,Air,Rail,1374.2630650740757,0.0,100.0,19
GHA,CIV,Air,Rail,1433.9387087378982,0.0,100.0,19
GIN,MLI,Air,Rail,2262.7380592568693,0.0,100.0,19
GHA,GIN,Air,Rail,4283.436544013791,0.0,100.0,19
GIN,LBR,Air,Rail,5775.763125696929,0.0,100.0,19
GHA,LBR,Air,Rail,4549.054470433715,0.0,100.0,19
GIN,GNB,Air,Rail,2968.8144955147254,0.0,100.0,19
BFA,MLI,Air,Rail,2070.3314670117124,0.0,100.0,19
GIN,GHA,Air,Rail,3645.5057448312605,0.0,100.0,19
BFA,NER,Air,Rail,1473.2875613035708,0.0,100.0,19
GHA,SLE,Air,Rail,3809.2669806748418,0.0,100.0,19
GIN,CIV,Air,Rail,2633.076034890172,0.0,100.0,19
MLI,NER,Air,Rail,3116.332645320537,0.0,100.0,19
DJI,ERI,Air,Rail,3676.736586426068,0.0,100.0,19
ESH,MRT,Air,Rail,3213.0563829839994,0.0,100.0,19
CIV,GIN,Air,Rail,3527.992422908405,0.0,100.0,19
LBR,SLE,Air,Rail,2296.2093655570593,0.0,100.0,19
LBR,TCD,Air,Rail,10761.954946473514,0.0,100.0,19
DJI,SSD,Air,Rail,5414.139721282036,0.0,100.0,19
LBR,TGO,Air,Rail,4791.671350381103,0.0,100.0,19
LBR,ZWE,Air,Rail,20945.634158684097,0.0,100.0,19
MRT,ESH,Air,Rail,3235.440902692963,0.0,100.0,19
ETH,DJI,Air,Rail,2185.856699142511,0.0,100.0,19
DJI,TCD,Air,Rail,11448.132247008592,0.0,100.0,19
ETH,ERI,Air,Rail,3641.8061421441917,0.0,100.0,19
CMR,GAB,Air,Rail,1208.6074306208084,0.0,100.0,38
UGA,RWA,Air,Rail,1977.6400699210924,0.0,100.0,19
TCD,CAF,Air,Rail,5326.957483845927,0.0,100.0,19
RWA,BDI,Air,Rail,11786.185533334292,0.0,100.0,19
ETH,SOM,Air,Rail,3528.8189392669087,0.0,100.0,19
CIV,SLE,Air,Rail,5356.452893908123,0.0,100.0,19
CIV,LBR,Air,Rail,5832.45876631823,0.0,100.0,19
TCD,LBY,Air,Rail,6860.8424371749625,0.0,100.0,19
LBR,NGA,Air,Rail,7593.06061734478,5.846341268495984,99.92300415388307,38
LBR,NER,Air,Rail,7968.999826765597,6.778525397412516,99.91493881861253,19
LBR,ETH,Air,Rail,19857.888548349456,27.267188715683126,99.86268837873023,19
LBR,RWA,Air,Rail,19297.227082769066,27.91151908439097,99.85535994905032,19
LBR,ERI,Air,Rail,19764.525742418165,29.883141909489616,99.84880415397292,19
LBR,SSD,Air,Rail,19566.791156150743,30.770928326275268,99.8427390159137,19
LBR,UGA,Air,Rail,18489.42525567452,29.24765062827439,99.84181417094456,19
DJI,MAR,Air,Rail,21135.829028634173,33.820556069854,99.83998471967182,38
LBR,ZAF,Air,Rail,22625.815636148258,37.58043517190208,99.83390461684898,76
