destination_region,origin_ISO,Unit logistics costs ($/ton),flow(tonne)
Asia,AGO,4837.3864130549655,7531966.017192985
Asia,BEN,4582.852133233649,3078200.429401106
Asia,CIV,4949.847525689158,6721043.565331542
Asia,CMR,4652.243386829503,8281514.546800336
Asia,COD,6085.928682858387,3464058.7349674553
Asia,COM,15157.952034678976,235930.8634985512
Asia,CPV,8670.524466653216,394693.01984184486
Asia,DJI,6946.018911508807,709446.0676531768
Asia,DZA,3905.548136714173,20336006.68517383
Asia,EGY,2319.1506406979393,34574957.14693758
Asia,ERI,4577.385226112323,354183.59913387476
Asia,ESH,4480.175748582009,271186.54460031353
Asia,GAB,5096.78570856903,3971266.451183934
Asia,GHA,5620.099466237372,7228435.597299576
Asia,GIN,4761.066181391621,1680949.3445348104
Asia,GMB,15992.245547805003,337503.76650303573
Asia,GNB,6224.709543127922,268925.91203689575
Asia,GNQ,14147.26875962571,2524064.828503744
Asia,KEN,4771.539765392513,12384871.274184229
Asia,LBR,11915.655560748326,601547.2119937538
Asia,LBY,3812.4876607243796,8897329.698216036
Asia,MAR,4732.0716304640355,10521329.200404119
Asia,MDG,6192.23127230447,3122378.456921407
Asia,MOZ,4870.536576534074,3580861.4587833434
Asia,MRT,5336.967563499396,1992455.7089216565
Asia,MUS,13638.419551798012,2244869.8420538697
Asia,NAM,5057.48889457564,2862730.4606578243
Asia,NGA,5233.0872752252735,74553930.15817085
Asia,SDN,4010.7549146881597,16452132.879356759
Asia,SEN,6794.492955459148,3948905.6705137435
Asia,SLE,6130.561009073469,671134.2463341858
Asia,SOM,3984.958771477507,414772.1150521496
Asia,STP,8429.082701177475,107392.17503876405
Asia,SYC,14033.205101340363,255882.56591095624
Asia,TGO,4274.368380609584,1457909.571932872
Asia,TUN,4057.2274468929354,6707889.946290757
Asia,TZA,4272.170131067667,11012770.708080709
Asia,ZAF,3628.3631351597965,127964715.9714394
Europe,AGO,3446.10780816169,9467895.78597511
Europe,BEN,2595.2216658453917,837954.4667110624
Europe,CIV,2587.1542183450315,1863515.7298348348
Europe,CMR,2170.8893748341425,2365001.8758092574
Europe,COD,3547.574583071658,893442.2138284622
Europe,COM,14545.42777128538,64702.512387448776
Europe,CPV,3714.062789705445,114392.47044301812
Europe,DJI,6594.926786817238,205542.38124850838
Europe,DZA,1080.1612671325695,25227331.58552101
Europe,EGY,1123.316339529668,42221503.06843858
Europe,ERI,2800.559740756598,89316.51277294957
Europe,ESH,1995.1168248417741,77418.1764356592
Europe,GAB,3322.607262412863,1131480.1174278592
Europe,GHA,2159.163026618073,2001593.2204758797
Europe,GIN,2563.7519488705916,433799.26185330475
Europe,GMB,6522.992700012996,87673.01052410936
Europe,GNB,2620.416285888417,69479.92983660064
Europe,GNQ,8678.119015884991,734520.9532405138
Europe,KEN,2629.8842080380564,3554333.346610505
Europe,LBR,5997.6578238325155,159553.69710963927
Europe,LBY,1234.7936169119002,2600639.2284025974
Europe,MAR,1398.8864496657484,13031610.986157542
Europe,MDG,5554.718788111873,836880.812144027
Europe,MOZ,4272.124464337627,971655.8452631525
Europe,MRT,2231.3887208251203,571577.1004932441
Europe,MUS,16614.94547510895,636926.7536745402
Europe,NAM,3330.157965576157,836110.9540786555
Europe,NGA,2337.728978141101,21539052.749878854
Europe,SDN,2768.512827366347,4549104.995224496
Europe,SEN,2052.0743418507814,1044068.082469441
Europe,SLE,3004.730514268824,174636.77657095532
Europe,SOM,3605.8530545043945,99918.13890275147
Europe,STP,6705.2783234184435,31129.345891200493
Europe,SYC,14768.921244395004,68881.8181603748
Europe,TGO,2610.7231712262324,389111.5065719353
Europe,TUN,1191.629823196672,8363731.726753532
Europe,TZA,2983.7150933784656,3085623.6406540843
Europe,ZAF,2613.9675781255214,21456124.039860383
North America,AGO,4170.879172548362,2160700.4197488506
North America,BEN,6832.754799056301,931063.4411582296
North America,CIV,5075.548145193362,1937528.2189021662
North America,CMR,3660.2310031721195,2434283.013645324
North America,COD,6167.216616284974,1092366.9695388689
North America,COM,29009.764299135353,70923.9460700157
North America,CPV,3356.845248837113,113000.16633610158
North America,DJI,22572.221094924025,203181.440357027
North America,DZA,3830.83390917394,5883561.596615781
North America,EGY,2817.035775697252,10694307.761896508
North America,ERI,10017.251463677327,113652.07266332836
North America,ESH,5578.998425674396,78723.29068723689
North America,GAB,7251.054481667384,1154879.7679577926
North America,GHA,3427.5783021350944,2141101.820634553
North America,GIN,6349.741480304961,517370.61318800214
North America,GMB,15544.432531544395,105945.64275360745
North America,GNB,6417.270899474136,84766.25668955939
North America,GNQ,20077.813609938865,719899.2732400363
North America,KEN,6186.330616401628,3698728.5182115366
North America,LBR,16715.183697738285,185808.85518254602
North America,LBY,5267.9072402189895,2527125.0348689007
North America,MAR,4857.828067584508,3095800.142636289
North America,MDG,9108.179558570755,960617.8633070242
North America,MOZ,6477.646617440281,1076282.7166743479
North America,MRT,5079.901580829486,575847.6446350449
North America,MUS,28433.633639148364,655284.6664597756
North America,NAM,4981.112650616114,830792.1297979673
North America,NGA,6203.947063026186,21467708.77479143
North America,SDN,8665.158613907914,4871636.112021516
North America,SEN,5120.508477284568,1182953.5620127707
North America,SLE,5590.531689361618,210402.67892808368
North America,SOM,8848.314779909802,138627.57158741337
North America,STP,8570.404053464532,30742.350157321758
North America,SYC,26485.83455402394,78108.81133869627
North America,TGO,8465.460869018887,448105.8044840747
North America,TUN,3561.342177240641,1937783.332643936
North America,TZA,7573.726616348823,3332975.137129819
North America,ZAF,4783.6659860958325,15098912.702829992
Oceania,AGO,10855.113120549786,120617.30728814538
Oceania,BEN,12569.297169878893,65203.351343010596
Oceania,CIV,10096.767877999011,134575.54892161797
Oceania,CMR,9972.72726637127,165305.8481398334
Oceania,COD,9715.799516603622,75199.19147979042
Oceania,COM,19086.55121397022,4969.866038248948
Oceania,CPV,12856.378682303774,7957.048443714029
Oceania,DJI,22991.81337697502,14306.787242149676
Oceania,DZA,11203.119720311448,330300.4751360237
Oceania,EGY,6808.219636174985,606611.4892021284
Oceania,ERI,12659.923094102433,7914.694783323842
Oceania,ESH,12847.4237028649,5535.597098809718
Oceania,GAB,10596.390528838716,81193.2620476133
Oceania,GHA,11407.696090133146,145807.98851407247
Oceania,GIN,11272.432016770006,35887.4820765063
Oceania,GMB,31665.418056346727,7393.154638197034
Oceania,GNB,13652.977093427915,5912.9177367083985
Oceania,GNQ,26296.009023273353,50712.33480567979
Oceania,KEN,8280.179152823308,249098.41654626039
Oceania,LBR,29534.784598138063,12986.073131427778
Oceania,LBY,9971.832541011901,178096.0057509479
Oceania,MAR,10034.294655604552,172670.3217631844
Oceania,MDG,7882.269788403864,66181.24197326924
Oceania,MOZ,7809.2635335208815,74302.40492101376
Oceania,MRT,13374.598716771487,40510.056685446136
Oceania,MUS,15978.696215536474,46052.04654561788
Oceania,NAM,8449.131239650362,56029.404984847395
Oceania,NGA,10905.728396125482,1450655.2626712427
Oceania,SDN,10438.005627826387,335512.2925564213
Oceania,SEN,14657.693467956375,82226.72989267041
Oceania,SLE,12563.697605897754,14684.222814937235
Oceania,SOM,11433.26238492608,9510.630957860201
Oceania,STP,12270.949557388103,2164.7893049832933
Oceania,SYC,18637.696360838083,5465.186505575925
Oceania,TGO,11269.77834728449,31332.68327487974
Oceania,TUN,10014.70969799984,107771.32115715038
Oceania,TZA,9352.127788412774,225648.78894171023
Oceania,ZAF,5615.888743410806,1551058.6365433596
Other,AGO,7442.497521607088,2257311.5124346945
Other,BEN,7218.715664458268,527261.3765878768
Other,CIV,7097.522489427459,1168588.670007176
Other,CMR,6796.082155960848,1448779.9461093284
Other,COD,8183.130348885782,558864.6625828589
Other,COM,18115.72673358478,40596.2660276245
Other,CPV,11407.448668934803,70286.51209466199
Other,DJI,9783.016317501493,126308.91753544068
Other,DZA,5922.802971200276,5945705.913878383
Other,EGY,5055.494182983855,10207032.115801536
Other,ERI,7728.0400034058175,57929.124052958185
Other,ESH,7316.559811998603,47837.91790110227
Other,GAB,7844.969505533884,699678.4103366246
Other,GHA,7256.463085456162,1255713.9433560297
Other,GIN,7689.7950399806805,279703.668616207
Other,GMB,14955.430659334057,56189.496267268834
Other,GNB,8317.663257596481,44626.21495937361
Other,GNQ,13633.161636209707,450632.277099706
Other,KEN,7184.534257057812,2169761.1017496577
Other,LBR,11420.905705554465,101418.04041342571
Other,LBY,5676.812479752264,1592896.3163729475
Other,MAR,6125.616727037907,3145031.7120105815
Other,MDG,12914.8418531567,523455.6354571618
Other,MOZ,8753.366358254974,613663.2612994169
Other,MRT,7160.947426818029,352542.86465218756
Other,MUS,18950.06096977933,394481.4237232109
Other,NAM,8011.545918210111,506286.15219816915
Other,NGA,6752.972446137101,13164924.825166835
Other,SDN,7453.205714249919,2866135.580787272
Other,SEN,6745.449258113238,668967.2688546457
Other,SLE,8230.100833246472,111848.66887557365
Other,SOM,8791.585964671429,65907.36737180648
Other,STP,14759.942068212345,19125.925110731376
Other,SYC,17861.533536072337,43530.86740661672
Other,TGO,7137.904184520965,246729.0661756744
Other,TUN,5753.6977546632115,1939123.5348635851
Other,TZA,7490.233314046872,1917759.7420777753
Other,ZAF,7597.202939259411,16793908.05977607
South America,AGO,6910.591442773333,373247.69040789467
South America,BEN,6525.628352768869,134655.82074257443
South America,CIV,6440.004437320932,271258.07685686543
South America,CMR,6250.8027179906985,329762.63593897066
South America,COD,7670.605606957115,160168.75191860995
South America,COM,21966.01359224784,10224.93563956308
South America,CPV,5463.099023691707,15869.242378091925
South America,DJI,21189.590656014992,28539.217031538563
South America,DZA,6028.919762395617,999609.3881489347
South America,EGY,5398.657779256767,1775265.2699834406
South America,ERI,9880.660365599062,16920.87338896802
South America,ESH,6832.8942200348365,11140.422168564046
South America,GAB,6884.830700947309,163589.95633854048
South America,GHA,6212.888128650693,292647.06576698174
South America,GIN,6271.99139565542,75341.17257300191
South America,GMB,12369.486713752694,15608.89619041934
South America,GNB,6755.3210105976395,12513.417675652461
South America,GNQ,15815.711891819446,100884.8976807282
South America,KEN,7678.974890838915,498130.647660961
South America,LBR,13582.462515635627,27159.029379664342
South America,LBY,6513.945966817597,353317.3638839576
South America,MAR,6632.486766113069,517522.18569204205
South America,MDG,8686.00976639264,139105.71292115984
South America,MOZ,7835.030640469182,154388.68135743216
South America,MRT,5498.6955231912,81293.48919622478
South America,MUS,22772.969811605966,93011.31593890577
South America,NAM,7978.174098233877,110855.5260786209
South America,NGA,6174.6058779797195,2849214.275677162
South America,SDN,7992.977424546234,673467.1722240691
South America,SEN,6102.404348352335,169747.95873290798
South America,SLE,6673.186410354546,30978.980660013964
South America,SOM,8943.251800363838,20679.353756190703
South America,STP,8783.221526749763,4317.013036425802
South America,SYC,23568.142086338026,11349.37145319856
South America,TGO,6160.834367626597,65336.75060173878
South America,TUN,7297.759519728869,328736.4131867388
South America,TZA,7839.769074474474,456179.4382167255
South America,ZAF,6680.02435834306,2111028.865605977
